Reincarnated.Store,Type,Name,SKU,Categories,Regular price,In stock?,Description,Image_alt,Image_back,Image_front,Image_side,Audio_URL,Video_URL,Kunaki_URL,Album_Back,Album_Side,Album_Disc
Reincarnated.Store,Apparel,Graffiti Tag Poster,HE-011,Hawk Eye The Rapper > Posters,15.0,1.0,Poster with Hawk Eye's name in vibrant graffiti lettering. Color scheme: Multicolor on Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-011/Graffiti_Tag_Poster_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-011/Graffiti_Tag_Poster_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-011/Graffiti_Tag_Poster_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-011/Graffiti_Tag_Poster_side.png,,,,,,
Reincarnated.Store,Apparel,City Skyline Hawk Poster,HE-012,Hawk Eye The Rapper > Posters,15.0,1.0,Art poster of a hawk flying over an urban city skyline at dusk. Color scheme: Orange and Purple.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-012/City_Skyline_Hawk_Poster_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-012/City_Skyline_Hawk_Poster_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-012/City_Skyline_Hawk_Poster_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-012/City_Skyline_Hawk_Poster_side.png,,,,,,
Reincarnated.Store,Apparel,Winged Mic Art Poster,HE-013,Hawk Eye The Rapper > Posters,20.0,1.0,Illustrated poster of a microphone with wings and music notes. Color scheme: Black and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-013/Winged_Mic_Art_Poster_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-013/Winged_Mic_Art_Poster_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-013/Winged_Mic_Art_Poster_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-013/Winged_Mic_Art_Poster_side.png,,,,,,
Reincarnated.Store,Apparel,Hawk Eye Logo Sticker,HE-014,Hawk Eye The Rapper > Stickers,3.0,1.0,Die-cut sticker of the Hawk Eye logo in full color. Color scheme: Brown and Yellow.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-014/Hawk_Eye_Logo_Sticker_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-014/Hawk_Eye_Logo_Sticker_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-014/Hawk_Eye_Logo_Sticker_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-014/Hawk_Eye_Logo_Sticker_side.png,,,,,,
Reincarnated.Store,Apparel,Street Graffiti Sticker,HE-015,Hawk Eye The Rapper > Stickers,3.0,1.0,Sticker mimicking a graffiti tag of Hawk Eye's name. Color scheme: Red and Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-015/Street_Graffiti_Sticker_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-015/Street_Graffiti_Sticker_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-015/Street_Graffiti_Sticker_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HE-015/Street_Graffiti_Sticker_side.png,,,,,,
Reincarnated.Store,Apparel,Omniversal Logo T-Shirt,OM-001,Omniversal > Apparel,20.0,1.0,T-shirt with the Omniversal logo and a subtle galaxy background. Color scheme: Navy Blue and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-001/Omniversal_Logo_T-Shirt_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-001/Omniversal_Logo_T-Shirt_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-001/Omniversal_Logo_T-Shirt_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-001/Omniversal_Logo_T-Shirt_side.png,,,,,,
Reincarnated.Store,Apparel,Galactic Dreams T-Shirt,OM-002,Omniversal > Apparel,25.0,1.0,Tee featuring a vibrant galaxy print with shooting stars. Color scheme: Black and Purple.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-002/Galactic_Dreams_T-Shirt_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-002/Galactic_Dreams_T-Shirt_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-002/Galactic_Dreams_T-Shirt_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-002/Galactic_Dreams_T-Shirt_side.png,,,,,,
Reincarnated.Store,Apparel,Cosmic Unity Hoodie,OM-003,Omniversal > Apparel,45.0,1.0,Hoodie displaying interconnected planets symbolizing unity. Color scheme: Dark Gray and Blue.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-003/Cosmic_Unity_Hoodie_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-003/Cosmic_Unity_Hoodie_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-003/Cosmic_Unity_Hoodie_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-003/Cosmic_Unity_Hoodie_side.png,,,,,,
Reincarnated.Store,Apparel,Infinite Cosmos Long Sleeve,OM-004,Omniversal > Apparel,30.0,1.0,Long sleeve shirt with an infinite universe illustration on the back. Color scheme: Black and Teal.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-004/Infinite_Cosmos_Long_Sleeve_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-004/Infinite_Cosmos_Long_Sleeve_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-004/Infinite_Cosmos_Long_Sleeve_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-004/Infinite_Cosmos_Long_Sleeve_side.png,,,,,,
Reincarnated.Store,Apparel,Nebula Bomber Jacket,OM-005,Omniversal > Apparel,60.0,1.0,Bomber jacket featuring an all-over nebula cloud print. Color scheme: Purple and Pink.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-005/Nebula_Bomber_Jacket_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-005/Nebula_Bomber_Jacket_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-005/Nebula_Bomber_Jacket_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-005/Nebula_Bomber_Jacket_side.png,,,,,,
Reincarnated.Store,Apparel,Galaxy Phone Case,OM-006,Omniversal > Accessories,15.0,1.0,Phone case with a colorful spiral galaxy design. Color scheme: Blue and Purple.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-006/Galaxy_Phone_Case_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-006/Galaxy_Phone_Case_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-006/Galaxy_Phone_Case_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-006/Galaxy_Phone_Case_side.png,,,,,,
Reincarnated.Store,Apparel,Cosmic Coffee Mug,OM-007,Omniversal > Accessories,12.0,1.0,Ceramic mug printed with a starry night sky and Omniversal text. Color scheme: Black and Silver.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-007/Cosmic_Coffee_Mug_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-007/Cosmic_Coffee_Mug_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-007/Cosmic_Coffee_Mug_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-007/Cosmic_Coffee_Mug_side.png,,,,,,
Reincarnated.Store,Apparel,Omniversal Logo Keychain,OM-008,Omniversal > Accessories,8.0,1.0,Acrylic keychain with the Omniversal emblem in full color. Color scheme: Blue and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-008/Omniversal_Logo_Keychain_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-008/Omniversal_Logo_Keychain_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-008/Omniversal_Logo_Keychain_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-008/Omniversal_Logo_Keychain_side.png,,,,,,
Reincarnated.Store,Apparel,Celestial Canvas Tote Bag,OM-009,Omniversal > Accessories,15.0,1.0,Canvas tote bag printed with planets and stars artwork. Color scheme: Black and Multicolor.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-009/Celestial_Canvas_Tote_Bag_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-009/Celestial_Canvas_Tote_Bag_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-009/Celestial_Canvas_Tote_Bag_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-009/Celestial_Canvas_Tote_Bag_side.png,,,,,,
Reincarnated.Store,Apparel,Stardust Cap,OM-010,Omniversal > Accessories,25.0,1.0,Black cap speckled with embroidered stars and Omniversal text. Color scheme: Black and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-010/Stardust_Cap_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-010/Stardust_Cap_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-010/Stardust_Cap_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-010/Stardust_Cap_side.png,,,,,,
Reincarnated.Store,Apparel,Omniversal Galaxy Poster,OM-011,Omniversal > Posters,15.0,1.0,Large poster showcasing a spiral galaxy with the Omniversal logo. Color scheme: Blue and Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-011/Omniversal_Galaxy_Poster_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-011/Omniversal_Galaxy_Poster_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-011/Omniversal_Galaxy_Poster_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-011/Omniversal_Galaxy_Poster_side.png,,,,,,
Reincarnated.Store,Apparel,Cosmic Mandala Poster,OM-012,Omniversal > Posters,15.0,1.0,Poster of a mandala made of stars and planets. Color scheme: Purple and Gold.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-012/Cosmic_Mandala_Poster_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-012/Cosmic_Mandala_Poster_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-012/Cosmic_Mandala_Poster_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-012/Cosmic_Mandala_Poster_side.png,,,,,,
Reincarnated.Store,Apparel,Celestial Alignment Poster,OM-013,Omniversal > Posters,20.0,1.0,Artwork poster depicting planets aligned in a cosmic scene. Color scheme: Blue and Orange.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-013/Celestial_Alignment_Poster_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-013/Celestial_Alignment_Poster_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-013/Celestial_Alignment_Poster_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-013/Celestial_Alignment_Poster_side.png,,,,,,
Reincarnated.Store,Apparel,Omniversal Logo Sticker,OM-014,Omniversal > Stickers,3.0,1.0,Round sticker featuring the Omniversal logo and starfield background. Color scheme: Blue and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-014/Omniversal_Logo_Sticker_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-014/Omniversal_Logo_Sticker_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-014/Omniversal_Logo_Sticker_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-014/Omniversal_Logo_Sticker_side.png,,,,,,
Reincarnated.Store,Apparel,Holographic Galaxy Sticker,OM-015,Omniversal > Stickers,4.0,1.0,Holographic sticker with a mini galaxy and planets. Color scheme: Rainbow on Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-015/Holographic_Galaxy_Sticker_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-015/Holographic_Galaxy_Sticker_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-015/Holographic_Galaxy_Sticker_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/OM-015/Holographic_Galaxy_Sticker_side.png,,,,,,
Reincarnated.Store,Apparel,Phoenix Rebirth T-Shirt,R2R-001,Reincarnated2Resist > Apparel,20.0,1.0,T-shirt featuring a fiery phoenix rising from ashes. Color scheme: Black and Orange.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-001/Phoenix_Rebirth_T-Shirt_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-001/Phoenix_Rebirth_T-Shirt_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-001/Phoenix_Rebirth_T-Shirt_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-001/Phoenix_Rebirth_T-Shirt_side.png,,,,,,
Reincarnated.Store,Apparel,Resist Forever Hoodie,R2R-002,Reincarnated2Resist > Apparel,45.0,1.0,Hoodie with bold RESIST text and flame accents. Color scheme: Black and Red.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-002/Resist_Forever_Hoodie_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-002/Resist_Forever_Hoodie_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-002/Resist_Forever_Hoodie_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-002/Resist_Forever_Hoodie_side.png,,,,,,
Reincarnated.Store,Apparel,Rebel Camo Jacket,R2R-003,Reincarnated2Resist > Apparel,50.0,1.0,Camouflage jacket adorned with the R2R emblem and patches. Color scheme: Green Camo and Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-003/Rebel_Camo_Jacket_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-003/Rebel_Camo_Jacket_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-003/Rebel_Camo_Jacket_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-003/Rebel_Camo_Jacket_side.png,,,,,,
Reincarnated.Store,Apparel,No Chains Long Sleeve,R2R-004,Reincarnated2Resist > Apparel,30.0,1.0,Long sleeve tee showing broken chains to symbolize freedom. Color scheme: Gray and Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-004/No_Chains_Long_Sleeve_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-004/No_Chains_Long_Sleeve_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-004/No_Chains_Long_Sleeve_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-004/No_Chains_Long_Sleeve_side.png,,,,,,
Reincarnated.Store,Apparel,Resistance Symbol Tank Top,R2R-005,Reincarnated2Resist > Apparel,20.0,1.0,Tank top with a raised fist graphic and R2R tagline. Color scheme: White and Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-005/Resistance_Symbol_Tank_Top_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-005/Resistance_Symbol_Tank_Top_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-005/Resistance_Symbol_Tank_Top_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-005/Resistance_Symbol_Tank_Top_side.png,,,,,,
Reincarnated.Store,Apparel,Resistance Fist Keychain,R2R-006,Reincarnated2Resist > Accessories,7.0,1.0,Metal keychain featuring a raised fist symbol charm. Color scheme: Silver and Black.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-006/Resistance_Fist_Keychain_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-006/Resistance_Fist_Keychain_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-006/Resistance_Fist_Keychain_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-006/Resistance_Fist_Keychain_side.png,,,,,,
Reincarnated.Store,Apparel,Phoenix Flame Enamel Pin,R2R-007,Reincarnated2Resist > Accessories,8.0,1.0,Enamel pin depicting a phoenix with flames. Color scheme: Red and Gold.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-007/Phoenix_Flame_Enamel_Pin_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-007/Phoenix_Flame_Enamel_Pin_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-007/Phoenix_Flame_Enamel_Pin_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-007/Phoenix_Flame_Enamel_Pin_side.png,,,,,,
Reincarnated.Store,Apparel,Never Surrender Wristband,R2R-008,Reincarnated2Resist > Accessories,5.0,1.0,Red silicone wristband embossed with Never Surrender. Color scheme: Red and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-008/Never_Surrender_Wristband_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-008/Never_Surrender_Wristband_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-008/Never_Surrender_Wristband_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-008/Never_Surrender_Wristband_side.png,,,,,,
Reincarnated.Store,Apparel,Embroidered Rebel Patch,R2R-009,Reincarnated2Resist > Accessories,6.0,1.0,Embroidered patch with the Reincarnated2Resist phoenix emblem. Color scheme: Black and Orange.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-009/Embroidered_Rebel_Patch_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-009/Embroidered_Rebel_Patch_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-009/Embroidered_Rebel_Patch_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-009/Embroidered_Rebel_Patch_side.png,,,,,,
Reincarnated.Store,Apparel,Freedom Bandana,R2R-010,Reincarnated2Resist > Accessories,10.0,1.0,Black bandana printed with a white phoenix and protest slogans. Color scheme: Black and White.,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-010/Freedom_Bandana_alt.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-010/Freedom_Bandana_back.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-010/Freedom_Bandana_front.png,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/R2R-010/Freedom_Bandana_side.png,,,,,,
